Symbol,Day,Open,CloseDiff,SpreadOverLow,Volume,NextLow,TwoDayHigh,ThreeDayOpen
BID,20100628,26.16,-0.09212538,6.318586,3244800,22.2,23.28,22.79
BK,20081022,30.36,-0.07081691,5.441284,1.04178E+07,27.3,28.84,27.51
BKD,20081107,6.47,-0.03863988,9.121775,1296100,5.62,5.51,4.79
BKI,20081016,5.72,0.03496509,7.357333,425000,4.96,5.97,5.71
BKS,20081010,22.2,0.0792792,9.805599,1532300,21.3,28.15,22.41
BKS,20111114,16.17,-0.04761907,5.625867,1985000,15.14,16.84,16.23
BKS,20130625,16.97,-0.08014141,12.01623,8999500,15.65,16.53,15.76
BKS,20140221,16.75,0.05611943,10.65993,1.20895E+07,17.23,18.05,18.14
BLX,20080919,19,-0.006315833,6.897927,547300,16.32,17.18,15.32
BLX,20080923,16.36,-0.08924211,7.088128,470000,14.55,15.31,14.64
BLX,20140421,26.42,0.008326999,7.631484,268000,26.6,27.34,26.42
BNY,20081010,8.45,0.005917183,10.16415,132600,8.8,11.18,10.11
BPT,20170227,21,-0.01190476,8.609595,919900,18.7,20.35,18.9
BRT,20100216,5.27,-0.09487666,5.835366,14700,4.8,4.85,4.8
BTU,20150819,1.29,0.08527133,9.296091,2.90704E+07,1.5,1.93,1.47
BTU,20150922,1.31,-0.09160297,10.4198,9920600,1.11,1.44,1.42
BTU,20151209,9.9,-0.06666666,5.320373,958400,9.24,9.41,8.7
BTU,20160315,4.31,-0.0696055,6.083182,4892600,2,2.69,2.29
BVN,20060410,6.68,-0.0287425,5.195832,957400,6.098,6.335,6.225
BVN,20160531,9.47,0.009503712,4.768609,7255100,9.37,9.95,10.34
BXC,20140702,13.7,-0.04379558,5.118735,145300,12.6,13.4,13.2
BXC,20151027,7,-0.0142857,7.725311,58300,6.8,7.4,7.3
BXC,20151218,5.5,0.07272729,6.478141,55200,5.6,5.8,5.5
BXC,20160329,5.5,0.05454549,8.901886,93000,5.8,6.7,6.6
BXC,20170516,10.07,-0.00297912,4.131186,23400,9.16,9.9,9.62
BXG,20070924,7.82,0.02813297,5.367382,301300,7.6,8.06,7.78
BXG,20081219,2.42,-0.07438019,5.481025,143000,2.2,2.61,2.57
BXG,20090702,2.45,0.02040814,6.337782,77200,2.16,2.36,2.19
BXG,20100809,2.93,0.08191127,6.080853,67800,2.89,2.9,2.63
BXG,20120405,4.65,0.004301071,5.054761,50800,4.48,4.73,4.66
BXS,20080918,25.88,0.09041732,6.181396,2831400,25.05,31.49,27.85
BYD,20090406,5.37,0.04655493,9.428214,5376400,4.88,5.27,5.43
BYD,20120221,9.51,-0.09463728,6.896399,4565200,8.06,8.33,8.35
BYD,20130411,8.81,0.004540291,4.786337,9107400,8.59,9,8.76
BZH,20080118,29.65,-0.03709951,5.51815,1614500,25,36.15,35.2
BZH,20080124,35.2,-0.0411932,6.485272,2304100,33.45,44.3,44.05
BZH,20080609,31,-0.03064519,5.464186,1712400,28.75,30.45,27.5
BZH,20081208,11.25,-0.04888891,5.393855,1927600,9.5,10.5,10.2
BZH,20090401,4.85,0.02061854,6.079575,1349100,5,5.35,5.1
BZH,20090414,6,0.04166667,8.693895,3084600,6.1,8.5,7.75
BZH,20090731,15.8,0.01898735,4.810902,3006700,16.65,17.85,17.5
BZH,20100506,27.85,-0.05745064,9.474842,1.6414E+07,24,28.3,26.6
BZH,20100511,26.6,0.06954888,5.989079,6829200,27.7,29,26.7
C,20090205,34.6,0.02023124,4.920408,2.182571E+07,31.8,41,40.1
C-S,20081124,10.55,0.06161134,7.394472,266500,11.36,14.21,13.8
C-S,20090218,7.19,-0.0792768,6.750756,168300,5.41,6.18,6.2
CACI,20160818,92.65,0.04317323,5.54041,1246400,95.88,98.93,98.72
CAI,20161110,8.39,0.08939213,5.475663,96900,8.98,9.73,9.35
CAI,20170727,28.45,-0.05096664,6.146352,1167700,25.75,27.57,26.23
CAL,20081113,11.88,0.07154877,5.558192,9853100,11.4,12.41,11.79
CBB,20060210,17.3,0.08670521,5.519005,2325600,19.25,20.95,20.7
CBG,20070725,39,-0.03128208,5.060934,4742300,34.62,35.71,34.4
CBG,20080918,13.39,0.02240472,6.191652,1.03975E+07,13.77,15.08,12.9
CBG,20081027,4.37,0.06178489,7.976149,4859100,4.51,6.75,6.51
CBK,20070831,13,-0.07076924,7.285083,2159400,12.12,12.4,12.67
CBK,20081124,3.06,-0.03267971,6.523796,288100,2.73,3,2.92
CBK,20081204,3.54,0.002824856,4.087348,290600,3.3,4.5,4.39
CBK,20081209,4.39,-0.047836,6.297885,318100,4.2,4.56,3.85
CBK,20120328,2.07,-0.03864731,13.95007,1850800,1.9,1.94,1.85
CBK,20120717,1.52,-0.03947365,6.95156,125700,1.36,1.63,1.6
CBK,20130114,5.82,-0.04295532,8.671744,386200,5.42,6.7,6.46
CBK,20130701,6.91,-0.09117217,6.794668,437200,5.76,6.28,6.35
CBK,20131204,7.01,-0.009985759,6.253429,967300,6.83,7.12,7.2
CBK,20140715,10.07,-0.08142997,5.988402,571300,8.86,9.32,9.14
CBK,20160316,2.45,-0.0285714,5.182669,504900,2.2,2.69,2.48
